CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11016,MR.,WYATT,HILL,1979-04-28,M,M,wyatt32@learnsector.com,30000,0,Partial College,Skilled Manual,Y
11017,MRS.,SHANNON,WANG,1944-06-26,S,F,shannon1@learnsector.com,20000,4,High School,Skilled Manual,Y
11018,MR.,CLARENCE,RAI,1944-09-10,S,M,clarence32@learnsector.com,30000,2,Partial College,Clerical,Y
11019,MR.,LUKE,LAL,1978-07-03,S,M,luke18@learnsector.com,40000,0,High School,Skilled Manual,N
11020,MR.,JORDAN,KING,1978-09-20,S,M,jordan73@learnsector.com,40000,0,High School,Skilled Manual,N
11021,MS.,DESTINY,WILSON,1978-03-09,S,F,destiny7@learnsector.com,40000,0,Partial College,Skilled Manual,N
11022,MR.,ETHAN,ZHANG,1978-12-10,M,M,ethan20@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11023,MR.,SETH,EDWARDS,1978-11-10,M,M,seth46@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11024,MR.,RUSSELL,XIE,1978-09-17,M,M,russell7@learnsector.com,60000,0,Partial College,Skilled Manual,Y
11025,,ALEJANDRO,BECK,1945-12-23,M,,alejandro45@learnsector.com,10000,2,Partial High School,Clerical,Y
11026,MR.,HAROLD,SAI,1946-03-04,S,M,harold3@learnsector.com,30000,2,Partial College,Clerical,N
11027,MR.,JESSIE,ZHAO,1946-07-12,M,M,jessie16@learnsector.com,30000,2,Partial College,Clerical,Y
11028,MRS.,JILL,JIMENEZ,1946-11-04,M,F,jill13@learnsector.com,30000,2,Partial College,Clerical,Y
11029,MR.,JIMMY,MORENO,1946-12-21,M,M,jimmy9@learnsector.com,30000,2,Partial College,Clerical,Y
11030,MRS.,BETHANY,YUAN,1947-02-22,M,F,bethany10@learnsector.com,10000,2,Partial High School,Clerical,Y
11031,MRS.,THERESA,RAMOS,1947-08-22,M,F,theresa13@learnsector.com,20000,4,High School,Skilled Manual,Y
11032,MRS.,DENISE,STONE,1947-11-06,M,F,denise10@learnsector.com,20000,4,High School,Skilled Manual,Y
11033,MR.,JAIME,NATH,1947-09-23,M,M,jaime41@learnsector.com,20000,4,High School,Skilled Manual,Y
11034,MRS.,EBONY,GONZALEZ,1947-06-19,M,F,ebony19@learnsector.com,20000,4,High School,Skilled Manual,Y
11035,,WENDY,DOMINGUEZ,1948-02-24,M,,wendy12@learnsector.com,10000,2,Partial High School,Clerical,Y
11036,MS.,JENNIFER,RUSSELL,1978-12-18,M,F,jennifer93@learnsector.com,60000,0,Partial College,Skilled Manual,Y
11037,MS.,CHLOE,GARCIA,1977-11-27,S,F,chloe27@learnsector.com,40000,0,Partial High School,Clerical,N
11038,MRS.,DIANA,HERNANDEZ,1948-03-23,M,F,diana2@learnsector.com,10000,2,Partial High School,Clerical,Y
11039,MR.,MARC,MARTIN,1948-12-17,M,M,marc3@learnsector.com,30000,3,Partial College,Clerical,Y
11040,MR.,JESSE,MURPHY,1977-01-08,M,M,jesse15@learnsector.com,30000,0,Partial College,Skilled Manual,Y
11041,MS.,AMANDA,CARTER,1977-10-16,M,F,amanda53@learnsector.com,60000,0,Partial College,Skilled Manual,Y
11042,MS.,MEGAN,SANCHEZ,1977-06-13,M,F,megan28@learnsector.com,70000,0,Partial College,Skilled Manual,Y
11043,MR.,NATHAN,SIMMONS,1976-02-24,M,M,nathan11@learnsector.com,60000,0,Partial College,Skilled Manual,Y
11044,MR.,ADAM,FLORES,1949-05-24,M,M,adam10@learnsector.com,20000,2,Partial High School,Clerical,Y
11045,MR.,LEONARD,NARA,1950-05-19,S,M,leonard18@learnsector.com,30000,3,High School,Skilled Manual,N
11046,MRS.,CHRISTINE,YUAN,1950-03-22,M,F,christine4@learnsector.com,30000,3,High School,Skilled Manual,Y
11047,MRS.,JACLYN,LU,1950-02-27,M,F,jaclyn12@learnsector.com,30000,3,High School,Skilled Manual,N
11048,MR.,JEREMY,POWELL,1950-11-22,M,M,jeremy26@learnsector.com,30000,3,High School,Skilled Manual,Y
11049,MS.,CAROL,RAI,1980-07-18,S,F,carol8@learnsector.com,40000,0,Partial High School,Clerical,Y
11050,MR.,ALAN,ZHENG,1951-07-09,M,M,alan23@learnsector.com,30000,3,High School,Skilled Manual,Y
11051,MR.,DANIEL,JOHNSON,1951-04-08,S,M,daniel18@learnsector.com,30000,3,High School,Skilled Manual,N
11052,MRS.,HEIDI,LOPEZ,1951-07-08,S,F,heidi19@learnsector.com,40000,2,Partial College,Clerical,N
11053,MS.,ANA,PRICE,1980-08-20,M,F,ana0@learnsector.com,60000,0,Partial College,Skilled Manual,N
11054,MRS.,DEANNA,MUNOZ,1952-10-03,M,F,deanna33@learnsector.com,40000,2,Partial College,Skilled Manual,Y
11055,MR.,GILBERT,RAJE,1952-05-03,M,M,gilbert35@learnsector.com,40000,2,Partial College,Skilled Manual,Y
11056,MRS.,MICHELE,NATH,1953-03-04,M,F,michele19@learnsector.com,40000,3,Partial College,Skilled Manual,Y
11057,MR.,CARL,ANDERSEN,1953-12-10,M,M,carl12@learnsector.com,70000,2,Graduate Degree,Management,Y
11058,MR.,MARC,DIAZ,1954-04-27,M,M,marc6@learnsector.com,80000,2,Partial College,Skilled Manual,Y
11059,MRS.,ASHLEE,ANDERSEN,1954-01-04,S,F,ashlee19@learnsector.com,80000,2,Partial College,Skilled Manual,Y
11060,MR.,JON,ZHOU,1954-03-17,M,M,jon28@learnsector.com,80000,2,Partial College,Skilled Manual,Y
11061,MR.,TODD,GAO,1954-02-27,M,M,todd14@learnsector.com,80000,2,Partial College,Skilled Manual,Y
11062,MR.,NOAH,POWELL,1975-02-09,M,M,noah5@learnsector.com,40000,0,High School,Skilled Manual,Y
11063,MS.,ANGELA,MURPHY,1975-07-04,S,F,angela41@learnsector.com,40000,0,High School,Skilled Manual,Y
11064,MR.,CHASE,REED,1975-07-12,M,M,chase21@learnsector.com,40000,0,High School,Skilled Manual,Y
11065,MS.,JESSICA,HENDERSON,1973-09-10,M,F,jessica29@learnsector.com,60000,0,Partial College,Skilled Manual,N
11066,MS.,GRACE,BUTLER,1973-11-27,M,F,grace62@learnsector.com,70000,0,Partial College,Professional,Y
11067,MR.,CALEB,CARTER,1976-09-25,S,M,caleb40@learnsector.com,60000,0,Partial College,Professional,Y
11068,MRS.,TIFFANY,LIANG,1955-09-23,S,F,tiffany17@learnsector.com,80000,2,High School,Skilled Manual,Y
11069,MRS.,CAROLYN,NAVARRO,1955-09-21,S,F,carolyn30@learnsector.com,80000,2,High School,Skilled Manual,N
11070,MR.,WILLIE,RAJI,1955-05-04,M,M,willie40@learnsector.com,80000,2,High School,Skilled Manual,Y
11071,MRS.,LINDA,SERRANO,1955-06-26,S,F,linda31@learnsector.com,80000,2,High School,Skilled Manual,Y
11072,MRS.,CASEY,LUO,1955-06-02,S,F,casey6@learnsector.com,80000,2,High School,Skilled Manual,N
11073,MRS.,AMY,YE,1956-08-14,S,F,amy16@learnsector.com,70000,2,High School,Skilled Manual,Y
11074,MR.,LEVI,ARUN,1956-08-28,S,M,levi6@learnsector.com,70000,2,High School,Skilled Manual,Y
11075,MRS.,FELICIA,JIMENEZ,1957-11-16,S,F,felicia4@learnsector.com,80000,2,High School,Professional,Y
11076,MR.,BLAKE,ANDERSON,1957-07-13,S,M,blake9@learnsector.com,80000,2,High School,Professional,Y
11077,MRS.,LEAH,YE,1957-09-19,S,F,leah7@learnsector.com,80000,2,High School,Professional,N
11078,MS.,GINA,MARTIN,1974-10-01,S,F,gina1@learnsector.com,40000,0,High School,Professional,N
11079,MR.,DONALD,GONZALEZ,1959-11-03,S,M,donald20@learnsector.com,160000,0,Graduate Degree,Management,Y
11080,MR.,DAMIEN,CHANDER,1959-07-17,M,M,damien32@learnsector.com,170000,0,Graduate Degree,Management,Y
11081,MRS.,SAVANNAH,BAKER,1966-07-24,M,F,savannah39@learnsector.com,120000,2,Bachelors,Management,Y
11082,,ANGELA,BUTLER,1966-04-08,S,,angela17@learnsector.com,130000,0,Graduate Degree,Management,N
11083,MS.,ALYSSA,COX,1966-03-15,M,F,alyssa37@learnsector.com,130000,0,Graduate Degree,Management,Y
11084,MR.,LUCAS,PHILLIPS,1957-12-09,S,M,lucas7@learnsector.com,80000,2,Partial High School,Skilled Manual,N
11085,MRS.,EMILY,JOHNSON,1957-07-19,S,F,emily1@learnsector.com,60000,2,High School,Professional,N
11086,MR.,RYAN,BROWN,1957-12-23,M,M,ryan43@learnsector.com,70000,2,Partial College,Professional,Y
11087,MRS.,TAMARA,LIANG,1957-03-10,M,F,tamara6@learnsector.com,70000,3,Partial College,Professional,N
11089,MRS.,ABIGAIL,PRICE,1957-05-02,S,F,abigail25@learnsector.com,80000,2,Bachelors,Management,Y
11090,MR.,TREVOR,BRYANT,1957-12-17,S,M,trevor18@learnsector.com,90000,2,Partial College,Professional,Y
11091,MR.,DALTON,PEREZ,1957-04-04,M,M,dalton37@learnsector.com,90000,2,Partial College,Professional,Y
11092,MRS.,CHERYL,DIAZ,1967-06-05,M,F,cheryl4@learnsector.com,90000,2,Bachelors,Professional,Y
11093,MS.,AIMEE,HE,1967-10-09,M,F,aimee13@learnsector.com,100000,0,Graduate Degree,Management,Y
11094,MR.,CEDRIC,MA,1962-01-04,S,M,cedric15@learnsector.com,70000,1,Partial College,Skilled Manual,N
11095,MR.,CHAD,KUMAR,1962-01-09,S,M,chad9@learnsector.com,70000,1,Partial College,Skilled Manual,Y
11096,MR.,ANDRÉS,ANAND,1962-10-08,M,M,andrés18@learnsector.com,60000,1,Bachelors,Professional,Y
11097,MR.,EDWIN,NARA,1961-10-27,M,M,edwin39@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11098,MRS.,MALLORY,RUBIO,1961-01-05,S,F,mallory7@learnsector.com,60000,1,Partial College,Skilled Manual,N
11099,MR.,ADAM,ROSS,1961-08-03,M,M,adam2@learnsector.com,60000,1,Bachelors,Professional,Y
11100,MRS.,LATASHA,NAVARRO,1960-09-15,S,F,latasha10@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11101,MS.,ABBY,SAI,1965-08-05,S,F,abby4@learnsector.com,70000,0,Bachelors,Professional,N
11102,MRS.,JULIA,NELSON,1965-04-21,S,F,julia7@learnsector.com,80000,5,Bachelors,Professional,Y
11103,MS.,CASSIE,CHANDE,1964-10-17,S,F,cassie13@learnsector.com,70000,0,Bachelors,Professional,Y
11104,MR.,EDGAR,SARA,1964-11-03,M,M,edgar11@learnsector.com,70000,0,Bachelors,Professional,N
11105,MS.,CANDACE,FERNANDEZ,1964-12-28,S,F,candace15@learnsector.com,70000,0,Bachelors,Professional,N
11106,MR.,JESSIE,LIU,1964-11-09,S,M,jessie9@learnsector.com,70000,0,Bachelors,Professional,N
11107,MRS.,BIANCA,LIN,1959-09-09,M,F,bianca7@learnsector.com,90000,1,Bachelors,Professional,Y
11108,MS.,KARI,ALVAREZ,1963-07-14,S,F,kari25@learnsector.com,70000,0,Bachelors,Professional,N
11109,MR.,RUBEN,KAPOOR,1963-05-11,S,M,ruben1@learnsector.com,70000,0,Bachelors,Professional,N
11110,MR.,CURTIS,YANG,1962-06-06,M,M,curtis5@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11111,MRS.,MEREDITH,GUTIERREZ,1962-02-23,M,F,meredith34@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11112,MRS.,CRYSTAL,WANG,1962-09-09,M,F,crystal3@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11113,MR.,MICHEAL,BLANCO,1962-02-21,M,M,micheal11@learnsector.com,70000,5,Bachelors,Professional,Y
11114,MRS.,LESLIE,MORENO,1962-05-28,S,F,leslie7@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11115,MR.,ALVIN,CAI,1962-12-02,M,M,alvin20@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11116,MR.,CLINTON,CARLSON,1962-07-10,M,M,clinton14@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11117,MRS.,APRIL,DENG,1961-02-21,M,F,april1@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11118,MR.,ALVIN,ZENG,1957-03-07,S,M,alvin21@learnsector.com,80000,1,Partial College,Skilled Manual,N
11119,MR.,EVAN,JAMES,1935-10-04,S,M,evan8@learnsector.com,30000,2,Partial College,Clerical,N
11121,MR.,ORLANDO,SUAREZ,1960-11-18,M,M,orlando19@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11122,MR.,BYRON,VAZQUEZ,1960-02-04,M,M,byron9@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11123,MR.,PHILIP,ALVAREZ,1960-06-20,M,M,philip4@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11124,MR.,ROSS,JORDAN,1957-07-27,S,M,ross1@learnsector.com,80000,1,Partial College,Skilled Manual,Y
11125,MRS.,DANA,NAVARRO,1956-08-04,S,F,dana2@learnsector.com,70000,1,Partial College,Skilled Manual,Y
11126,MR.,SHAUN,CARSON,1949-07-04,M,M,shaun16@learnsector.com,10000,2,High School,Skilled Manual,N
11127,MS.,JAN,EDWARDS,1975-10-21,M,F,jan11@learnsector.com,40000,0,High School,Skilled Manual,Y
11128,MS.,SAMANTHA,LONG,1975-05-12,M,F,samantha35@learnsector.com,40000,0,High School,Skilled Manual,Y
11129,MS.,JULIA,WRIGHT,1975-05-08,S,F,julia17@learnsector.com,40000,0,High School,Skilled Manual,Y
11130,MS.,CAROLINE,RUSSELL,1980-06-01,M,F,caroline21@learnsector.com,30000,0,High School,Skilled Manual,Y
11131,MS.,AMANDA,RIVERA,1980-12-03,M,F,amanda7@learnsector.com,30000,0,High School,Skilled Manual,N
11132,MS.,MELISSA,RICHARDSON,1980-10-26,S,F,melissa31@learnsector.com,30000,0,High School,Skilled Manual,N
11133,MS.,ANGELA,GRIFFIN,1980-08-09,S,F,angela23@learnsector.com,30000,0,Partial High School,Clerical,N
11134,MR.,LARRY,TOWNSEND,1946-02-26,S,M,larry14@learnsector.com,10000,5,High School,Skilled Manual,Y
11135,MR.,MARCUS,HARRIS,1979-03-11,S,M,marcus14@learnsector.com,30000,0,Partial High School,Clerical,N
11136,MS.,BRIANNA,MORGAN,1978-10-26,S,F,brianna30@learnsector.com,40000,0,High School,Skilled Manual,N
11137,MS.,JASMINE,TAYLOR,1978-07-20,M,F,jasmine7@learnsector.com,40000,0,High School,Skilled Manual,Y
11138,MS.,LAUREN,DAVIS,1978-09-15,M,F,lauren23@learnsector.com,40000,0,High School,Skilled Manual,N
11139,MRS.,TANYA,MORENO,1938-09-11,S,F,tanya2@learnsector.com,30000,2,Partial College,Clerical,N
11140,MR.,JAVIER,ALVAREZ,1977-11-02,S,M,javier1@learnsector.com,30000,0,Partial High School,Clerical,N
11141,MS.,NICOLE,RAMIREZ,1977-06-21,M,F,nicole42@learnsector.com,40000,0,High School,Skilled Manual,N
11142,MR.,EDUARDO,PATTERSON,1977-08-14,S,M,eduardo55@learnsector.com,40000,0,High School,Skilled Manual,N
11143,MR.,JONATHAN,HENDERSON,1977-04-02,M,M,jonathan4@learnsector.com,40000,0,High School,Skilled Manual,Y
11144,MR.,EDWARD,HERNANDEZ,1979-09-09,S,M,edward48@learnsector.com,40000,0,High School,Skilled Manual,N
11145,MS.,JASMINE,COLEMAN,1979-08-12,S,F,jasmine46@learnsector.com,40000,0,High School,Skilled Manual,N
11146,MRS.,KARLA,GOEL,1939-08-26,S,F,karla20@learnsector.com,40000,2,Bachelors,Management,Y
11147,MR.,ERNEST,WU,1939-05-02,M,M,ernest6@learnsector.com,60000,2,Graduate Degree,Management,Y
11148,MR.,ROSS,VAZQUEZ,1941-08-16,M,M,ross32@learnsector.com,40000,2,Bachelors,Management,Y
11149,MR.,THEODORE,GILL,1941-04-20,M,M,theodore14@learnsector.com,40000,2,Bachelors,Management,Y
11150,MR.,RUSSELL,SHEN,1941-03-15,S,M,russell6@learnsector.com,40000,2,Bachelors,Management,Y
11151,MRS.,MELINDA,GILL,1942-02-25,S,F,melinda9@learnsector.com,60000,2,Graduate Degree,Management,N
11152,MR.,JAMES,WILLIAMS,1976-10-01,S,M,james77@learnsector.com,40000,0,High School,Skilled Manual,Y
11153,MS.,ANGELA,JAMES,1976-06-23,M,F,angela34@learnsector.com,40000,0,High School,Skilled Manual,Y
11154,MS.,MEGAN,WALKER,1976-08-21,S,F,megan25@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11155,MR.,HUNTER,ROBINSON,1976-01-26,S,M,hunter50@learnsector.com,40000,0,Partial College,Skilled Manual,N
11156,MS.,MARIA,ROBERTS,1976-07-02,S,F,maria47@learnsector.com,40000,0,Partial College,Skilled Manual,N
11157,MS.,HANNAH,LONG,1975-11-06,M,F,hannah32@learnsector.com,40000,0,High School,Skilled Manual,Y
11158,MR.,JASON,WRIGHT,1975-08-10,S,M,jason46@learnsector.com,40000,0,High School,Skilled Manual,Y
11159,MS.,BRIANNA,HUGHES,1975-09-17,S,F,brianna57@learnsector.com,40000,0,High School,Skilled Manual,N
11160,MR.,MAURICE,TANG,1974-08-01,S,M,maurice4@learnsector.com,40000,0,Partial College,Skilled Manual,N
11161,MS.,EMILY,WOOD,1974-04-22,S,F,emily27@learnsector.com,40000,0,Partial College,Skilled Manual,N
11162,MR.,CHASE,COX,1974-05-03,S,M,chase10@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11163,MR.,GABRIEL,WANG,1974-12-20,M,M,gabriel21@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11164,MR.,DEVIN,BROOKS,1974-05-05,S,M,devin63@learnsector.com,40000,0,Partial College,Skilled Manual,N
11165,MS.,JOCELYN,ALEXANDER,1973-07-18,M,F,jocelyn18@learnsector.com,60000,0,Partial College,Skilled Manual,N
11166,MS.,ASHLEY,MARTINEZ,1972-04-24,S,F,ashley18@learnsector.com,70000,0,Partial College,Skilled Manual,N
11167,MS.,JASMINE,BARNES,1972-01-08,S,F,jasmine43@learnsector.com,80000,0,Bachelors,Management,N
11168,MR.,DAVID,RODRIGUEZ,1968-05-15,S,M,david83@learnsector.com,80000,0,Bachelors,Management,N
11169,MR.,BRYCE,RICHARDSON,1968-06-22,M,M,bryce8@learnsector.com,90000,4,Bachelors,Management,Y
11170,MRS.,CAROL,HOWARD,1968-05-02,M,F,carol5@learnsector.com,90000,4,Bachelors,Management,Y
11171,MR.,JONATHAN,HILL,1967-09-10,S,M,jonathan43@learnsector.com,100000,1,Bachelors,Management,Y
11172,MRS.,GABRIELLE,ADAMS,1967-11-21,M,F,gabrielle58@learnsector.com,100000,1,Bachelors,Management,Y
11173,MS.,SARAH,THOMAS,1967-01-09,S,F,sarah13@learnsector.com,110000,0,Graduate Degree,Management,N
11174,MR.,NICHOLAS,ROBINSON,1967-07-13,M,M,nicholas19@learnsector.com,110000,0,Graduate Degree,Management,Y
11175,MR.,LUIS,WANG,1963-05-03,S,M,luis24@learnsector.com,70000,0,Partial College,Skilled Manual,Y
11176,MR.,MASON,ROBERTS,1968-01-25,M,M,mason25@learnsector.com,90000,4,Bachelors,Management,Y
11177,MR.,JOSE,FLORES,1942-04-07,M,M,jose6@learnsector.com,110000,2,Graduate Degree,Management,Y
11178,MR.,NATHAN,JOHNSON,1943-08-24,M,M,nathan55@learnsector.com,100000,2,Graduate Degree,Management,Y
11179,MRS.,MOLLY,RODRIGUEZ,1943-06-14,M,F,molly18@learnsector.com,120000,2,Graduate Degree,Management,Y
11180,MRS.,APRIL,ANAND,1943-02-01,M,F,april18@learnsector.com,160000,1,Bachelors,Management,Y
11181,MR.,DEVIN,MARTIN,1943-08-08,M,M,devin13@learnsector.com,170000,2,Graduate Degree,Management,Y
11182,MRS.,STEPHANIE,TORRES,1944-08-25,S,F,stephanie19@learnsector.com,70000,4,Bachelors,Management,Y
11183,MRS.,JASMINE,LEE,1944-07-15,S,F,jasmine19@learnsector.com,70000,4,Bachelors,Management,Y
11184,MRS.,MEGHAN,HERNANDEZ,1944-11-16,S,F,meghan3@learnsector.com,70000,4,Bachelors,Management,Y
11185,MRS.,ASHLEY,HENDERSON,1944-08-10,S,F,ashley31@learnsector.com,70000,4,Bachelors,Management,Y
11186,MRS.,SARAH,PRICE,1944-05-21,S,F,sarah25@learnsector.com,70000,4,Bachelors,Management,Y
11187,MRS.,JENNIFER,COOPER,1944-02-22,M,F,jennifer63@learnsector.com,60000,4,Graduate Degree,Management,Y
11188,MRS.,CATHERINE,MORRIS,1944-06-09,M,F,catherine16@learnsector.com,60000,4,Graduate Degree,Management,N
11190,MR.,CARSON,BRYANT,1944-06-22,M,M,carson17@learnsector.com,70000,5,Bachelors,Management,Y
11191,MRS.,KRISTI,PEREZ,1945-12-18,S,F,kristi39@learnsector.com,70000,5,Bachelors,Management,Y
11192,MR.,JAMES,BROWN,1945-09-13,M,M,james79@learnsector.com,60000,4,Bachelors,Management,Y
11193,MR.,IAN,GRAY,1945-02-13,M,M,ian72@learnsector.com,60000,4,Bachelors,Management,Y
11194,MRS.,JACQUELINE,PRICE,1945-10-06,M,F,jacqueline0@learnsector.com,60000,4,Bachelors,Management,Y
11195,MRS.,MEGAN,HENDERSON,1946-10-02,M,F,megan55@learnsector.com,60000,5,Bachelors,Management,Y
11196,MR.,ALFREDO,ROMERO,1946-07-06,M,M,alfredo10@learnsector.com,60000,5,Bachelors,Management,Y
11197,MRS.,ANDREA,MORRIS,1946-06-18,M,F,andrea18@learnsector.com,70000,3,Bachelors,Management,N
11198,MRS.,BROOKE,SANDERS,1946-11-26,S,F,brooke3@learnsector.com,70000,4,Bachelors,Management,Y
11199,MRS.,JACQUELINE,BENNETT,1946-06-11,M,F,jacqueline1@learnsector.com,70000,4,Bachelors,Management,Y
11200,MR.,JASON,GRIFFIN,1947-11-22,M,M,jason18@learnsector.com,70000,4,Bachelors,Management,Y
11201,MRS.,AMANDA,FOSTER,1947-08-18,M,F,amanda37@learnsector.com,70000,4,Bachelors,Management,Y
11202,MRS.,ALEXIA,PRICE,1947-08-26,M,F,alexia0@learnsector.com,80000,5,Bachelors,Management,N
11203,MR.,LUIS,DIAZ,1948-08-21,M,M,luis21@learnsector.com,40000,2,High School,Professional,Y
11205,MRS.,ABBY,FERNANDEZ,1948-07-24,M,F,abby13@learnsector.com,40000,2,High School,Professional,Y
11206,MR.,BLAKE,FLORES,1948-09-24,M,M,blake60@learnsector.com,60000,2,Partial College,Professional,Y
11207,MRS.,DANIELLE,COX,1948-07-19,S,F,danielle12@learnsector.com,60000,2,Partial College,Professional,Y
11208,MRS.,MARIA,REED,1948-04-02,M,F,maria4@learnsector.com,60000,2,Bachelors,Management,Y
11209,MRS.,ALLISON,EVANS,1948-01-13,M,F,allison21@learnsector.com,60000,2,Bachelors,Management,Y
11210,MR.,EDWARD,WOOD,1948-08-06,M,M,edward50@learnsector.com,70000,4,Partial College,Professional,Y
11211,MRS.,SAMANTHA,RUSSELL,1949-12-10,M,F,samantha42@learnsector.com,40000,2,High School,Professional,Y
11212,MRS.,CHLOE,CAMPBELL,1949-05-11,M,F,chloe4@learnsector.com,40000,2,High School,Professional,Y
11213,MRS.,STEPHANIE,MURPHY,1949-05-14,S,F,stephanie11@learnsector.com,60000,2,Partial College,Professional,Y
11214,MR.,CHARLES,MILLER,1949-07-11,S,M,charles9@learnsector.com,60000,2,Partial College,Professional,Y
11215,MRS.,ANA,PERRY,1950-06-21,M,F,ana7@learnsector.com,40000,2,Partial High School,Skilled Manual,Y
11216,MRS.,JASMINE,TORRES,1950-05-20,S,F,jasmine32@learnsector.com,60000,2,Partial College,Professional,Y
11217,MRS.,NATALIE,ADAMS,1950-11-02,S,F,natalie58@learnsector.com,60000,2,Partial College,Professional,Y
11218,MRS.,OLIVIA,BROWN,1950-11-09,S,F,olivia4@learnsector.com,60000,2,Partial College,Professional,N
11219,MR.,CHARLES,COOK,1950-02-12,M,M,charles69@learnsector.com,60000,2,High School,Professional,Y
11220,MRS.,ERICA,HUANG,1950-02-23,M,F,erica5@learnsector.com,60000,2,Partial College,Professional,Y
11221,MR.,NATHAN,PERRY,1950-10-06,M,M,nathan3@learnsector.com,70000,4,Partial College,Professional,Y
11222,MRS.,ALEXANDRA,RIVERA,1950-08-17,M,F,alexandra11@learnsector.com,80000,3,Bachelors,Management,Y
11223,MRS.,HAILEY,PATTERSON,1951-09-16,S,F,hailey30@learnsector.com,70000,2,High School,Professional,Y
11224,MRS.,TIFFANY,LI,1951-06-09,S,F,tiffany3@learnsector.com,70000,2,High School,Professional,Y
11226,MRS.,SYDNEY,ROSS,1951-09-27,M,F,sydney26@learnsector.com,60000,2,Partial College,Professional,Y
11227,MR.,MARSHALL,CHAVEZ,1951-12-08,S,M,marshall35@learnsector.com,60000,2,Partial College,Professional,Y
11228,MRS.,ASHLEY,JONES,1951-04-19,M,F,ashley3@learnsector.com,60000,2,Partial College,Professional,Y
11229,MR.,ADRIAN,STEWART,1951-03-12,S,M,adrian21@learnsector.com,70000,4,Partial College,Professional,Y
11230,MRS.,AMBER,TURNER,1951-03-04,M,F,amber4@learnsector.com,70000,4,Partial College,Professional,N
11231,MR.,DENNIS,ZHANG,1952-11-14,M,M,dennis1@learnsector.com,60000,2,High School,Professional,Y
11232,MRS.,HAILEY,BRYANT,1952-09-27,M,F,hailey38@learnsector.com,60000,3,High School,Professional,N
11233,MR.,TODD,LI,1952-09-09,M,M,todd5@learnsector.com,70000,4,Partial College,Professional,Y
11234,,ANNA,GRIFFIN,1952-11-19,S,,anna46@learnsector.com,70000,4,Partial College,Professional,Y
11235,MR.,ANGEL,STEWART,1952-08-02,M,M,angel24@learnsector.com,70000,4,Partial College,Professional,Y
11236,MR.,JEREMY,BUTLER,1952-05-03,S,M,jeremy29@learnsector.com,70000,5,Partial College,Professional,Y
